test1	7282969127763836969
周易	SBCK001	[{40000}] 佚名  {著}、[{40005-2}] 韩康伯  {著}、[{40008}] 邢璹  {著}
尚书	SBCK002	[{40003-1}] 孔安国  {撰}、[{40008}] 陆德明  {音义}
诗经	SBCK003	[{40003-1}] 毛亨  {著}、[{40003-2}] 郑玄  {著}、[{40008}] 陆德明  {著}
周礼	SBCK004	[{40003-2}] 郑玄  {注}、[{40008}] 陆德明  {音义}
仪礼	SBCK005	[{40003-2}] 郑玄  {注}、[{40008}] 陆德明  {音义}
纂图互注礼记	SBCK006	[{40003-2}] 郑玄  {注}、[{40008}] 陆德明  {音义}
春秋经传集解	SBCK007	[{40000}] 左丘明  {撰}、[{40005-1}] 杜预  {撰}、[{40008}] 陆德明  {音义}
春秋公羊经传解诂	SBCK008	[{40003-2}] 何休  {撰}、[{40008}] 陆德明  {音义}
春秋榖梁传	SBCK009	[{40005-2}] 范宁  {集解}、[{40008}] 陆德明  {音义}
孝经	SBCK010	[{40008}] 李隆基  {注}
论语	SBCK011	[{40004}] 何晏  {集解}
孟子	SBCK012	[{40001}] 孟轲  {撰}、[{40003}] 赵岐  {注}
尔雅	SBCK013	[{40005}] 郭璞  {注}
京氏易传	SBCK014	[{40003-1}] 京房  {撰}、[{40003-2}] 陆绩  {注}、[{40014}] 范钦  {订}
尚书大传	SBCK015	[{40003-1}] 伏胜  {撰}、[{40003-2}] 郑玄  {注}、[{40015}] 陈寿祺  {辑校}
韩诗外传	SBCK016	[{40003-1}] 韩婴  {撰}
大戴礼记	SBCK017	[{40003-1}] 戴德  {撰}、[{40006-9}] 卢辩  {注}
春秋繁露	SBCK018	[{40003}] 董仲舒  {撰}
经典释文	SBCK019	[{40008}] 陆德明  {撰}、[{40015}] 孙毓修  {辑}
方言	SBCK020	[{40003-1}] 扬雄  {撰}、[{40005}] 郭璞  {注}
释名	SBCK021	[{40003-2}] 刘熙  {撰}
说文解字	SBCK022	[{40003-2}] 许慎  {撰}、[{40010-1}] 徐铉  {校定}
说文解字系传	SBCK023	[{40009}] 徐锴  {撰}
玉篇	SBCK024	[{40010-1}] 陈彭年  {重修}
广韵	SBCK025	[{40010-1}] 陈彭年  {著}
竹书纪年	SBCK026	[{40006}] 沈约  {注}、[{40014}] 范钦  {订}
前汉纪	SBCK027	[{40003-2}] 荀悦  {撰}
后汉纪	SBCK028	[{40005-2}] 袁宏  {撰}
资治通鉴	SBCK029	[{40010-1}] 司马光  {撰}
资治通鉴考异	SBCK030	[{40010-1}] 司马光  {撰}
司马温公稽古录	SBCK032	[{40010-1}] 司马光  {撰}
资治通鉴外纪	SBCK033	[{40010-1}] 刘恕  {撰}
资治通鉴释文	SBCK035	[{40010-2}] 史炤  {撰}
通鉴纪事本末	SBCK036	[{40010-2}] 袁枢  {撰}
汲冢周书	SBCK037	[{40005-1}] 孔晁  {注}、[{40014}] 范钦  {订}
国语	SBCK038	[{40004-3}] 韦昭  {注}
战国策校注	SBCK039	[{40010-2}] 鲍彪  {注}、[{40013}] 吴师道  {重校}
晏子春秋	SBCK040	[{40001}] 晏婴  {撰}
刘向古列女传	SBCK041	[{40003-1}] 刘向  {撰}
五朝名臣言行录	SBCK042	[{40010-2}] 朱熹  {撰}
三朝名臣言行录	SBCK043	[{40010-2}] 朱熹  {撰}
吴越春秋	SBCK044	[{40003-2}] 赵晔  {撰}、[{40010}] 徐天祜  {注}
越绝书	SBCK045	[{40003-2}] 袁康  {撰}
华阳国志	SBCK046	[{40005-1}] 常璩  {撰}
水经注	SBCK047	[{40006-5}] 郦道元  {撰}
大唐西域记	SBCK048	[{40008}] 释玄奘  {译}、[{40008}] 释辩机  {撰}
史通	SBCK049	[{40008}] 刘知几  {撰}、[{40015}] 孙毓修  {辑}、[{40015}] 姜殿扬  {辑}
孔子家语	SBCK050	[{40004-1}] 王肃  {注}
荀子	SBCK051	[{40001-2}] 荀况  {撰}、[{40008}] 杨倞  {注}
孔丛子	SBCK052	[{40003-1}] 孔鲋  {撰}
新语	SBCK053	[{40003-1}] 陆贾  {撰}
贾太傅新书	SBCK054	[{40003-1}] 贾谊  {撰}
盐铁论	SBCK055	[{40003-1}] 桓宽  {撰}
新序	SBCK056	[{40003-1}] 刘向  {撰}
说苑	SBCK057	[{40003-1}] 刘向  {撰}
扬子法言	SBCK058	[{40003-1}] 扬雄  {撰}、[{40005}] 李轨  {注}
潜夫论	SBCK059	[{40003-2}] 王符  {撰}
申鉴	SBCK060	[{40003-2}] 荀悦  {撰}、[{40014}] 黄省曾  {注}
徐干中论	SBCK061	[{40003-2}] 徐干  {撰}
文中子中说	SBCK062	[{40007}] 王通  {撰}、[{40010-1}] 阮逸  {注}
孙子兵法	SBCK063	[{40001-1}] 孙武  {著}、[{40010-2}] 吉天保  {著}
六韬	SBCK064	[{40000}] 吕望  {撰}
吴子	SBCK065	[{40001-2}] 吴起  {撰}
司马法	SBCK066	[{40001-1}] 司马穰苴  {撰}
管子	SBCK067	[{40001-1}] 管仲  {撰}、[{40008}] 房玄龄  {注}
邓析子	SBCK068	[{40001-1}] 邓析  {撰}
商子	SBCK069	[{40001-1}] 商鞅  {撰}
韩非子	SBCK070	[{40001-2}] 韩非  {著}
齐民要术	SBCK071	[{40006}] 贾思勰  {撰}
黄帝内经	SBCK072	[{40008}] 王冰  {著}、[{40010-1}] 林亿  {著}
黄帝素问灵枢经	SBCK073	[{40008}] 王冰  {注}
难经集注	SBCK074	[{40014}] 王九思  {撰}
金匮要略	SBCK075	[{40003-2}] 张仲景  {撰}、[{40005}] 王叔和  {集}、[{40010-1}] 林亿  {诠次}
注解伤寒论	SBCK076	[{40003-2}] 张机  {撰}、[{40005}] 王叔和  {编}、[{40012}] 成无己  {注}
王氏脉经	SBCK077	[{40005}] 王叔和  {撰}
证类本草	SBCK078	[{40010-1}] 唐慎微  {著}
周髀算经	SBCK079	[{40003-2}] 赵爽  {注}、[{40006-9}] 甄鸾  {重述}、[{40008}] 李淳风  {注}
九章算术	SBCK080	[{40005}] 刘徽  {注}、[{40008}] 李淳风  {注}
太玄经	SBCK081	[{40003}] 扬雄  {撰}、[{40005}] 范望  {注}
焦氏易林	SBCK082	[{40003-1}] 焦赣  {撰}
墨子	SBCK083	[{40001-2}] 墨翟  {撰}
尹文子	SBCK084	[{40001-2}] 尹文  {撰}
慎子	SBCK085	[{40001-2}] 慎到  {撰}、[{40014}] 慎懋赏  {校}
鹖冠子	SBCK086	[{40001-2}] 鹖冠子  {撰}、[{40001-1}] 陆佃  {解}
鬼谷子	SBCK087	[{40001-2}] 鬼谷子  {撰}、[{40006-3}] 陶弘景  {注}
吕氏春秋	SBCK088	[{40001-2}] 吕不韦  {撰}、[{40003-2}] 高诱  {注}
淮南子	SBCK089	[{40003-1}] 刘安  {撰}、[{40003-2}] 许慎  {撰}
人物志	SBCK090	[{40004-1}] 刘邵  {撰}、[{40006-3}] 刘昞  {注}
颜氏家训	SBCK091	[{40006-8}] 颜之推  {撰}
白虎通德论	SBCK092	[{40003-2}] 班固  {撰}
论衡	SBCK093	[{40003-2}] 王充  {撰}
风俗通义	SBCK094	[{40003-2}] 应劭  {撰}
群书治要	SBCK095	[{40008}] 魏征  {辑}
意林	SBCK096	[{40008}] 马总  {编}、[{40015}] 周广业  {编逸文}、[{40015}] 李遇孙  {录补}
西京杂记	SBCK097	[{40003}] 刘歆  {撰}、[{40005-2}] 葛洪  {录}
世说新语	SBCK098	[{40006-1}] 刘义庆  {撰}、[{40006-3}] 刘峻  {注}
山海经	SBCK099	[{40005}] 郭璞  {注}、[{40015}] 黄丕烈  {校勘}
穆天子传	SBCK100	[{40005-2}] 郭璞  {注}
酉阳杂俎	SBCK101	[{40008}] 段成式  {著}
弘明集	SBCK102	[{40006-3}] 释僧祐  {撰}
广弘明集	SBCK103	[{40008}] 释道宣  {撰}
法苑珠林	SBCK104	[{40008}] 释道世  {撰}
翻译名义集	SBCK105	[{40010}] 释法云  {撰}
老子道德经	SBCK106	[{40003}] 河上公  {注}
冲虚至德真经	SBCK107	[{40001-2}] 列御寇  {撰}、[{40005-2}] 张湛  {注}
庄子	SBCK108	[{40005-1}] 郭象  {著}、[{40008}] 陆德明  {著}、[{40015}] 孙毓修  {著}
抱朴子	SBCK109	[{40005-2}] 葛洪  {撰}
云笈七签	SBCK110	[{40010-1}] 张君房  {撰}
楚辞	SBCK111	[{40001-2}] 屈原  {撰}、[{40003-2}] 王逸  {章句}、[{40010}] 洪兴祖  {补注}
蔡中郎文集	SBCK112	[{40003-2}] 蔡邕  {撰}
曹子建集	SBCK113	[{40004-1}] 曹植  {撰}
嵇中散集	SBCK114	[{40004-1}] 嵇康  {撰}
陆士衡文集	SBCK115	[{40005-1}] 陆机  {撰}
陆士龙文集	SBCK116	[{40005-1}] 陆机  {撰}
笺注陶渊明集	SBCK117	[{40005-1}] 陶潜  {撰}、[{40010}] 李公焕  {笺注}
鲍氏集	SBCK118	[{40006}] 鲍照  {撰}
谢宣城诗集	SBCK119	[{40006}] 谢朓  {撰}
梁昭明太子文集	SBCK120	[{40006-3}] 萧统  {撰}
梁江文通文集	SBCK121	[{40006-3}] 江淹  {撰校补}、[{40015}] 叶树廉  {辑}
徐孝穆集	SBCK122	[{40006-4}] 徐陵  {撰}
庾子山集	SBCK123	[{40006-3}] 庾信  {撰}
寒山子诗集	SBCK124	[{40008}] 释寒山  {撰}
王子安集	SBCK125	[{40008}] 王勃  {撰}
杨盈川集	SBCK126	[{40008}] 杨炯  {撰}
幽忧子集	SBCK127	[{40008}] 卢照邻  {撰}
骆宾王文集	SBCK128	[{40008}] 骆宾王  {撰}
陈伯玉文集	SBCK129	[{40008}] 陈子昂  {撰}
张说之文集	SBCK130	[{40008}] 张说  {撰}
曲江集	SBCK131	[{40008}] 张九龄  {著}
李白集	SBCK132	[{40008}] 李白  {著}、[{40010-2}] 杨齐贤  {著}
杜甫集	SBCK133	[{40008}] 杜甫  {著}
王维集	SBCK134	[{40008}] 王维  {著}、[{40009}] 刘辰翁  {著}
高适集	SBCK135	[{40008}] 高适  {著}
孟浩然集	SBCK136	[{40008}] 孟浩然  {撰}、[{40008}] 王士源  {编}
唐元次山文集	SBCK137	[{40008}] 元结  {撰}
颜鲁公文集	SBCK138	[{40008}] 颜真卿  {撰}、[{40010-2}] 留元刚  {撰年谱}
岑参集	SBCK139	[{40008}] 岑参  {著}、[{40008}] 杜确  {著}
皎然集	SBCK140	[{40008}] 释皎然  {撰}、[{40008}] 于𬱖  {编}
刘随州文集	SBCK141	[{40008}] 刘长卿  {撰}
韦刺史诗集	SBCK142	[{40008}] 韦应物  {撰}
毗陵集	SBCK143	[{40008}] 独孤及  {撰}
钱考功集	SBCK144	[{40008}] 钱起  {撰}
唐陆宣公翰苑集	SBCK145	[{40008}] 陆贽  {撰}
权载之文集	SBCK146	[{40008}] 权德舆  {撰}、[{40016}] 姜殿扬  {校补}
韩愈集	SBCK147	[{40008}] 韩愈  {著}、[{40010-2}] 朱熹  {著}
柳宗元集	SBCK148	[{40008}] 柳宗元  {著}、[{40008}] 童宗说  {著}、[{40010-2}] 张敦颐  {著}、[{40010-2}] 潘纬  {著}
刘梦得文集	SBCK149	[{40008}] 刘禹锡  {撰}
吕和叔文集	SBCK150	[{40008}] 吕温  {撰}
唐张司业诗集	SBCK151	[{40008}] 张籍  {撰}
皇甫持正文集	SBCK152	[{40008}] 皇甫湜  {撰}
唐李文公集	SBCK153	[{40008}] 李翱  {撰}
欧阳行周文集	SBCK154	[{40008}] 欧阳詹  {撰}
孟东野诗集	SBCK155	[{40008}] 孟郊  {撰}
唐贾浪仙长江集	SBCK156	[{40008}] 贾岛  {撰}
李贺歌诗编	SBCK157	[{40008}] 李贺  {撰}
沈下贤文集	SBCK158	[{40008}] 沈亚之  {撰}
李文饶文集	SBCK159	[{40008}] 李德裕  {撰}
元氏长庆集	SBCK160	[{40008}] 元稹  {撰}、[{40015}] 张元济  {校}
白居易集	SBCK161	[{40008}] 白居易  {著}
杜牧集	SBCK162	[{40008}] 杜牧  {著}
姚少监诗集	SBCK163	[{40008}] 姚合  {撰}
李义山诗集	SBCK164	[{40008}] 李商隐  {撰}
李义山文集	SBCK165	[{40008}] 李商隐  {撰}
温庭筠诗集	SBCK166	[{40008}] 温庭筠  {撰}
丁卯集	SBCK167	[{40008}] 许浑  {撰}
唐刘蜕集	SBCK168	[{40008}] 刘蜕  {撰}
唐孙樵集	SBCK169	[{40008}] 孙樵  {撰}
李群玉诗集	SBCK170	[{40008}] 李群玉  {撰}
碧云集	SBCK171	[{40008}] 李中  {撰}
唐李推官披沙集	SBCK172	[{40008}] 李咸用  {撰}
皮子文薮	SBCK173	[{40008}] 皮日休  {撰}
唐甫里先生文集	SBCK174	[{40008}] 陆龟蒙  {撰}
玉川子诗集	SBCK175	[{40008}] 卢仝  {撰}
司空表圣文集	SBCK176	[{40008}] 司空图  {撰}
司空表圣诗集	SBCK177	[{40008}] 司空图  {撰}
玉山樵人集	SBCK178	[{40008}] 韩偓  {撰}
桂苑笔耕集	SBCK179	[{40008}] 崔致远  {撰}
唐黄御史公集	SBCK180	[{40008}] 黄滔  {撰}
甲乙集	SBCK181	[{40008}] 罗隐  {撰}
白莲集	SBCK182	[{40008}] 释齐己  {撰}
禅月集	SBCK183	[{40008}] 释贯休  {撰}
浣花集	SBCK184	[{40009}] 韦庄  {撰}
广成集	SBCK185	[{40009}] 杜光庭  {撰}
徐公文集	SBCK186	[{40010-1}] 徐铉  {撰}
河东先生集	SBCK187	[{40010-1}] 柳开  {撰}
小畜外集	SBCK188	[{40010-1}] 王禹称  {撰}
王黄州小畜集	SBCK189	[{40010-1}] 王禹称  {撰}
林和靖先生诗集	SBCK190	[{40010-1}] 林逋  {撰}
河南穆公集	SBCK191	[{40010-1}] 穆修  {撰}
范文正公集	SBCK192	[{40010-1}] 范仲淹  {撰}
河南先生文集	SBCK193	[{40010-1}] 尹洙  {撰}
苏学士文集	SBCK194	[{40010-1}] 苏舜钦  {撰}
温国文正公文集	SBCK195	[{40010-1}] 司马光  {撰}
直讲李先生文集	SBCK196	[{40010-1}] 李觏  {撰}
陈眉公先生订正丹渊集	SBCK197	[{40010-1}] 文同  {撰}
元丰类稿	SBCK198	[{40010-1}] 曾巩  {撰}
宛陵先生文集	SBCK199	[{40010-1}] 梅尧臣  {撰}
伊川击壤集	SBCK200	[{40010-1}] 邵雍  {撰}
欧阳文忠公集	SBCK201	[{40010-1}] 欧阳修  {撰}
嘉祐集	SBCK202	[{40010-1}] 苏洵  {撰}
临川先生文集	SBCK203	[{40010-1}] 王安石  {撰}
苏轼诗集	SBCK204	[{40010-1}] 苏轼  {著}、[{40010-2}] 王十朋  {著}
经进东坡文集事略	SBCK205	[{40010-1}] 苏轼  {撰}、[{40010-2}] 郎晔  {注}
栾城集	SBCK206	[{40010-1}] 苏辙  {撰}
栾城应诏集	SBCK207	[{40010-1}] 苏辙  {撰}
豫章黄先生文集	SBCK208	[{40010-1}] 黄庭坚  {撰}
后山诗注	SBCK209	[{40010-1}] 陈师道  {撰}、[{40010-1}] 任渊  {注}
张右史文集	SBCK210	[{40010-1}] 张耒  {撰}
淮海集	SBCK211	[{40010-1}] 秦观  {撰}
石门文字禅	SBCK212	[{40010-1}] 释惠洪  {撰}
济北晁先生鸡肋集	SBCK213	[{40010-1}] 晁补之  {撰}
浮溪集	SBCK214	[{40010}] 汪藻  {撰}
陈与义诗集	SBCK215	[{40006-1}] 陈与义  {著}、[{40010-2}] 胡稚  {著}
简斋诗外集	SBCK216	[{40010}] 陈与义  {撰}
于湖居士文集	SBCK217	[{40010-2}] 张孝祥  {撰}
朱熹文集	SBCK218	[{40010-2}] 朱熹  {著}
止斋先生文集	SBCK219	[{40010-2}] 陈傅良  {撰}
梅溪先生廷试策奏议	SBCK220	[{40010-2}] 王十朋  {撰}
攻媿集	SBCK221	[{40010-2}] 楼钥  {撰}
象山先生全集	SBCK222	[{40010-2}] 陆九渊  {撰}
盘洲文集	SBCK223	[{40010-2}] 洪适  {撰}、[{40015}] 张元济  {札记}
石湖居士诗集	SBCK224	[{40010-2}] 范成大  {撰}
